LG PONTE SARELA	A Ponte Sarela
LG SON ARRIBA	Lugar Son Arriba
LG SON DE ABAIXO	Lugar Son de Abaixo
LG SUSANA	Lugar Susana
LG TARRIO	Lugar Tarrio
LG TORRE CESAR	Lugar Torre Cesar
LG TORRE ENFESTA	Lugar Torre Enfesta
LG TORRE MARANTES	Lugar Torre Marantes
LG TRAS IGREXA	Lugar Tras Igrexa
LG TRAS VEA	Lugar Tras Vea
LG UCEIRA	Lugar Uceira
LG VACHAO	Lugar Vachao
LG VALADO BARCIELA	Lugar Valado Barciela
LG VALADO EIXO	Lugar Valado Eixo
LG VALIÑA	Lugar Valiña
LG VEIGA	Lugar Veiga
LG VERDIA	Lugar Verdia
LG VERDIA ARRIBA	Lugar Verdia Arriba
LG VERDIA ESTACION	Lugar Verdia Estacion
LG VILA FERNANDEZ	Lugar Vila Fernandez
LG VILAMAIOR	Lugar Vilamaior
LG VILAR GRIXOA	Lugar Vilar Grixoa
LG VILAR MARANTES	Lugar Vilar Marantes
LG VILAR OUTEIRO	Lugar Vilar Outeiro
LG VILAR REI	Lugar Vilar Rei
LG VILARES	Lugar Vilares
LG VILARIÑO BUSTO	Lugar Vilariño Busto
LG VILARIÑO NEMENZO	Lugar Vilariño Nemenzo
LG VILAS	Lugar Vilas
LG VILASTREXE	Lugar Vilastrexe
LG VINTECATRO	Lugar Vintecatro
LG VRINS	Lugar Vrins
LG XAN XORDO	Lugar Xan Xordo
LG XULACASA	Lugar Xulacasa
LG TORRE BRANCA	Lugar a Torre Branca
LG FONTECOBA	Lugar da Fontecova
LG COREXO	Lugar de Corexo
LG CASAL LARAÑO	Lugar do Casal
LG COIRA	Lugar do Casal
LG SISTO (O)	Lugar do Sisto
LG VIXOI	Lugar do Sisto
RU CHOUCIÑOS (DOS)	Lugar dos Chouchiños
LG IGREXARIO ARINS	Lugar o Igrexario de Aríns
MT SANTASMARIÑAS	Monte Santasmariñas
RU CAMPO CONXO	O Campo de Conxo
LG CASAL HORTA	O Casal da Horta
LG EIXO ABAIXO	O Eixo de Abaixo
LG PARDIÑAS	Pardiñas
PQ DA MESTRA VICTORIA MIGUEZ	Parque da Mestra Victoria Míguez
PQ DE BELVIS	Parque de Belvís
PQ DA TRISCA	Parroquia/Parque Da Trisca
PQ DAS LETRAS GALEGAS	Parroquia/Parque Das Letras Galegas
PQ DO MONTE DA ALMACIGA	Parroquia/Parque Do Monte Da Almaciga
PQ EUGENIO FERNANDEZ GRANELL	Parroquia/Parque Eugenio Fernandez Granell
PQ FERMIN BOUZA BREY	Parroquia/Parque Fermin Bouza Brey
PQ JOSE ZECA AFONSO	Parroquia/Parque Jose Zeca Afonso
PQ MUSICA COMPOSTELA	Parroquia/Parque Musica Compostela
PQ PONTE MANTIBLE	Parroquia/Parque Ponte Mantible
PQ SAN DOMINGOS DE BONAVAL	Parroquia/Parque San Domingos de Bonaval
PQ DE CARLOMAGNO	Parroquia/Parque de Carlomagno
PQ DE XIXON	Parroquia/Parque de Xixon
PJ TRANSITO MERCED	Pasaje/Pasadizo Transito Merced
PS AMAIA	Paseo da Amaía
PS QUINTA	Paseo da Quinta
PS BRANDIA	Paseo de Brandía
PS ALAMEDA	Paseo de Bóveda
PS ESVEDRO	Paseo do Esvedro
LG PEDRIDO	Pedrido
LG CASAS ARRIBA	Pista a Casas de Arriba
LG PARADELAS ARRIBA	Pista a Paradelas de Arriba
LG SAN PAIO	Pista a San Paio
LG VILASUSO	Pista a Vilasuso
LG IGREXA CESAR	Pista da Igrexa
PC PENAS (DAS)	Placeta/Plaça Penas (Das)
PC COMBARRO (DO)	Placiñas do Combarro
PZ CAMILO DIAZ BALIÑO	Plaza Camilo Diaz Baliño
PZ CONSTITUCION	Plaza Constitucion
PZ EUROPA	Plaza Europa
PZ FUENTERRABIA	Plaza Fuenterrabia
PZ MARTIN HERRERA	Plaza Martin Herrera
PZ MUSICA COMPOSTELANA	Plaza Musica Compostelana
PZ OLIMPIO PEREZ RODRIGUEZ	Plaza Olimpio Perez Rodriguez
PZ RAMON DOMINGUEZ	Plaza Ramon Dominguez
PZ REP. ORIENTAL DO URUGUAY	Plaza Rep. Oriental Do Uruguay
PZ SAN XOAN BAUTISTA SALLE	Plaza San Xoan Bautista Salle
PZ SUNP-20 AMAÑECIDA RUA A	Plaza Sunp-20 Amañecida Rua A
PC ALGALIA DE ARRIBA (DA)	Praciña da Algalia de Arriba
PZ SAN PEDRO	Praciña de San Pedro
PZ ROXA	Praza Roxa
PZ ALGALIA ABAIXO	Praza da Algalia de Abaixo
PZ ATALAIA	Praza da Atalaia
PZ INMACULADA	Praza da Inmaculada
PZ NOSA SEÑORA MERCE CONXO	Praza da Nosa Señora da Mercé
PZ PESCADERIA VELLA	Praza da Pescadería Vella
PZ QUINTANA	Praza da Quintana de Mortos
PZ QUINTANA VIVOS	Praza da Quintana de Vivos
PZ UNIVERSIDADE	Praza da Universidade
PZ PRATERIAS	Praza das Praterías
PZ ANDRES DO BARRO	Praza de Andrés Do Barro
PZ CARLOS CASARES MOURIÑO	Praza de Carlos Casares Mouriño
PZ CERVANTES	Praza de Cervantes
PZ ENTREPRACIÑAS	Praza de Entrepraciñas
PZ FEIXO (DE)	Praza de Feixoo
PZ FONSECA	Praza de Fonseca
PZ FRANCISCO FERNANDEZ RIEGO	Praza de Francisco Fernández del Riego
PZ GALICIA	Praza de Galicia
PZ LEON	Praza de León
PZ MANUEL RIOS SUAREZ	Praza de Manuel Ríos Suárez
PZ MARCIAL VILLAMOR VARELA	Praza de Marcial Villamor Varela
PZ MAZARELOS	Praza de Mazarelos
PZ PASCUAL VEIGA	Praza de Pascual Veiga
PZ RODRIGUEZ CADARSO	Praza de Rodríguez Cadarso
PZ SALVADOR GARCIA BODAÑO	Praza de Salvador García Bodaño
PZ SALVADOR PARGA	Praza de Salvador Parga
PZ SAN FIZ SALOVIO	Praza de San Fiz de Solovio
RU TRAS SAN FIZ SOLOVIO	Praza de San Fiz de Solovio
PZ SAN MARTIÑO	Praza de San Martiño Pinario
PZ SAN MIGUEL AGROS	Praza de San Miguel dos Agros
PZ SAN ROQUE	Praza de San Roque
PZ SANTO AGOSTIÑO	Praza de Santo Agostiño
PZ SOFIA	Praza de Sofía
PZ ULTREIA	Praza de Ultreia
PZ VIDAN	Praza de Vidán
PZ VIGO	Praza de Vigo
PZ ALVARO CUNQUEIRO	Praza de Álvaro Cunqueiro
PZ DOUTOR PUENTE CASTRO	Praza do Doutor Puente Castro
PZ MATADOIRO	Praza do Matadoiro
PZ OBRADOIRO	Praza do Obradoiro
PZ PADRE FRANCISCO GOMEZ	Praza do Padre Francisco Gómez
PZ PARLADOIRO	Praza do Parladoiro
PZ SEMINARIO ESTUDOS GALEGOS	Praza do Seminario de Estudos Galegos
PZ TOURAL	Praza do Toural
RU RECANTO SAN MIGUEL	Recantos de San Miguel
LG RIAL LARAÑO	Rial de Laraño
RU RUEIRO TORRENTE	Rueiro de Torrente
RU RUELA ESTILA	Ruela da Estila
RU RUELA MUIÑA	Ruela da Muiña
RU RUELA OLIVEIRA	Ruela da Oliveira
RU RUELA VOLTA CASTRO	Ruela da Volta do Castro
RU RUELA CHUFAS	Ruela das Chufas
RU RUELA FONTIÑAS	Ruela das Fontiñas
RU RUELA SALVADAS	Ruela das Salvadas
RU RUELA ANIMAS	Ruela das Ánimas
RU RUELA ALTAMIRA	Ruela de Altamira
RU RUELA BRION	Ruela de Brión
RU RUELA DE CONXO DE ABAIXO	Ruela de Conxo de Abaixo
RU RUELA DE CONXO DE ARRIBA	Ruela de Conxo de Arriba
RU RUELA ENTRECERCAS	Ruela de Entrecercas
RU RUELA ENTRERRUAS	Ruela de Entrerrúas
RU RUELA FUENTERRABIA	Ruela de Fuenterrabía
RU RUELA SAE SE PODES	Ruela de Sae se Podes
RU RUELA SAN CLEMENTE	Ruela de San Clemente
RU RUELA TORRENTE	Ruela de Torrente
RU RUELA XERUSALEN	Ruela de Xerusalén
RU RUELA COMBARRO	Ruela do Combarro
RU RUELA DO GATO	Ruela do Gato
RU RUELA PESO	Ruela do Peso
RU RUELA POZO	Ruela do Pozo
RU CIDADE TRANSPORTE A	Rúa "A" da Cidade do Transporte
RU CIDADE TRANSPORTE (H)	Rúa "A" da Cidade do Transporte
RU CIDADE TRANSPORTE B	Rúa "B" da Cidade do Transporte
RU CIDADE TRANSPORTE C	Rúa "C" da Cidade do Transporte
RU CIDADE TRANSPORTE D	Rúa "E" da Cidade do Transporte
RU CIDADE TRANSPORTE F	Rúa "F" da Cidade do Transporte
RU CIDADE TRANSPORTE G	Rúa "G" da Cidade do Transporte
RU AGRA LAMAS	Rúa Agra Lamas
RU AIRAS NUNES	Rúa Airas Nunes
RU ALEJANDRA MURGUIA CASTRO	Rúa Alejandra Murguia Castro
RU ALEJANDRO NOVO GONZALEZ	Rúa Alejandro Novo Gonzalez
